[2022-08-16 22:35:34,148] Register - Step 01: Navigate to 'Register' page
[2022-08-16 22:35:35,307] Register - Step 02: Enter to Firstname textbox with value is 'quang anh'
[2022-08-16 22:35:35,779] Register - Step 03: Enter to Lastname textbox with value is 'trinh'
[2022-08-16 22:35:37,461] Register - Step 04: Enter to Email textbox with value is 'quanganh.plus73817@gmail.com'
[2022-08-16 22:35:37,670] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-08-16 22:35:37,805] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-08-16 22:35:37,892] Register - Step 07: Click to 'Register' button
[2022-08-16 22:35:38,791] Register - Step 08: Verify Register success message is displayed
[2022-08-16 22:35:38,960] Login - Step 01: Navigate to Login page
[2022-08-16 22:35:40,305] MyAccount - Step 01: Navigate to 'My Account' page
[2022-08-16 22:44:46,844] OS name = windows 10
[2022-08-16 22:44:46,845] Driver instance name = firefoxdriver: firefox on windows (12dde2cb-ae11-4396-9ef2-aa19f52bb879)
[2022-08-16 22:46:55,567] OS name = windows 10
[2022-08-16 22:46:55,568] Driver instance name = firefoxdriver: firefox on windows (d51238d3-ce21-45d1-a44a-fa2d5078e3e2)
[2022-08-16 22:52:40,907] OS name = windows 10
[2022-08-16 22:52:40,937] Driver instance name = firefoxdriver: firefox on windows (f190b819-bb9d-4904-ad1a-e4e46f133733)
[2022-08-16 23:05:48,596] OS name = windows 10
[2022-08-16 23:05:48,598] Driver instance name = firefoxdriver: firefox on windows (84f681d0-0765-4e26-b535-1d4f1d138c4f)
[2022-08-16 23:11:30,902] OS name = windows 10
[2022-08-16 23:11:30,903] Driver instance name = firefoxdriver: firefox on windows (a5b4cdee-45b9-4fe9-8ace-4c02105018e1)
[2022-08-16 23:13:42,312] OS name = windows 10
[2022-08-16 23:13:42,317] Driver instance name = firefoxdriver: firefox on windows (5d489870-9a95-4094-a08b-07243dfcdfa6)
[2022-08-16 23:14:51,270] OS name = windows 10
[2022-08-16 23:14:51,288] Driver instance name = firefoxdriver: firefox on windows (30b1fa33-5967-436a-80a3-689d7d381705)
[2022-08-16 23:21:57,072] OS name = windows 10
[2022-08-16 23:21:57,079] Driver instance name = firefoxdriver: firefox on windows (7f7ead0c-212d-45e3-b403-30211ade7f38)
[2022-08-16 23:27:30,814] Register - Step 01: Navigate to 'Register' page
[2022-08-16 23:27:31,724] Register - Step 02: Enter to Firstname textbox with value is 'quang anh'
[2022-08-16 23:27:31,819] Register - Step 03: Enter to Lastname textbox with value is 'trinh'
[2022-08-16 23:27:32,899] Register - Step 04: Enter to Email textbox with value is 'quanganh.plus53963@gmail.com'
[2022-08-16 23:27:33,059] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-08-16 23:27:33,147] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-08-16 23:27:33,228] Register - Step 07: Click to 'Register' button
[2022-08-16 23:27:34,011] Register - Step 08: Verify Register success message is displayed
[2022-08-16 23:27:34,128] Login - Step 01: Navigate to Login page
[2022-08-16 23:27:35,326] Login - Step 02: Enter to Email textbox with value is 'quanganh.plus53963@gmail.com'
[2022-08-16 23:27:35,416] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-08-16 23:27:35,500] Login - Step 04: Click to 'Login' button
[2022-08-16 23:27:36,240] Login - Step 05: Verify 'My Account' link is displayed
[2022-08-16 23:27:36,311] MyAccount - Step 01: Navigate to 'My Account' page
[2022-08-16 23:27:36,842] MyAccount - Step 02: Verify 'Customer Info' page is displayed
[2022-08-16 23:27:36,917] MyAccount - Step 03: Verify 'Fist Name' value is correctly
[2022-08-16 23:27:36,976] MyAccount - Step 04: Verify 'Last Name' value is correctly
[2022-08-16 23:27:37,037] MyAccount - Step 05: Verify 'Email' value is correctly
[2022-08-16 23:27:37,101] OS name = windows 10
[2022-08-16 23:27:37,101] Driver instance name = firefoxdriver: firefox on windows (565abc10-786a-419e-8da1-46aad998be65)
[2022-08-16 23:31:14,012] Register - Step 01: Navigate to 'Register' page
[2022-08-16 23:31:14,859] Register - Step 02: Enter to Firstname textbox with value is 'quang anh'
[2022-08-16 23:31:14,957] Register - Step 03: Enter to Lastname textbox with value is 'trinh'
[2022-08-16 23:31:16,011] Register - Step 04: Enter to Email textbox with value is 'quanganh.plus37395@gmail.com'
[2022-08-16 23:31:16,159] Register - Step 05: Enter to Password textbox with value is '123456'
[2022-08-16 23:31:16,246] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2022-08-16 23:31:16,339] Register - Step 07: Click to 'Register' button
[2022-08-16 23:31:17,170] Register - Step 08: Verify Register success message is displayed
[2022-08-16 23:31:17,275] Login - Step 01: Navigate to Login page
[2022-08-16 23:31:18,535] Login - Step 02: Enter to Email textbox with value is 'quanganh.plus37395@gmail.com'
[2022-08-16 23:31:18,636] Login - Step 03: Enter to Password textbox with value is '123456'
[2022-08-16 23:31:18,734] Login - Step 04: Click to 'Login' button
[2022-08-16 23:31:19,491] Login - Step 05: Verify 'My Account' link is displayed
[2022-08-16 23:31:19,565] MyAccount - Step 01: Navigate to 'My Account' page
[2022-08-16 23:31:20,112] MyAccount - Step 02: Verify 'Customer Info' page is displayed
[2022-08-16 23:31:20,181] MyAccount - Step 03: Verify 'Fist Name' value is correctly
[2022-08-16 23:31:20,239] MyAccount - Step 04: Verify 'Last Name' value is correctly
[2022-08-16 23:31:20,300] MyAccount - Step 05: Verify 'Email' value is correctly
[2022-08-16 23:31:20,367] OS name = windows 10
[2022-08-16 23:31:20,368] Driver instance name = firefoxdriver: firefox on windows (17e2cab3-a737-4d79-8bce-994ee8c8e47d)
[2022-08-16 23:32:45,001] Register - Step 01: Navigate to 'Register' page
[2022-08-16 23:32:45,859] Register - Step 02: Enter to Firstname textbox with value is 'quang anh'
[2022-08-16 23:32:45,954] Register - Step 03: Enter to Lastname textbox with value is 'trinh'
[2022-08-16 23:32:47,025] Register - Step 04: Enter to Email textbox with value is 'quanganh.plus14921@gmail.com'
